i,habitat_cells,matrix_alpha,habitat_alpha,ratio,eca
13,8634,200,200,1,95.68693754528746
7,8352,200,3355,16.777216000000006,494.8956423262932
13,8634,320,320,1,133.57545769872615
7,8352,320,5369,16.777216000000006,536.7177107049636
13,8634,512,512,1,183.9605454727929
7,8352,512,8590,16.777216000000006,568.1931243703466
13,8634,819,819,1,251.6584400582883
7,8352,819,13744,16.777216000000006,596.7944278036764
13,8634,1311,1311,1,337.1345628730585
4,6375,56295,200,0.0035527136788004988,293.8846950921967
7,8352,200,13744,68.71947673600003,585.158460700337
7,8352,1311,21990,16.777216000000006,627.3919901137833
13,8634,2097,2097,1,432.11843164995537
7,8352,320,21990,68.71947673600003,598.2977109840919
7,8352,2097,35184,16.777216000000006,658.3178783942719
13,8634,3355,3355,1,523.0829683762769
7,8352,512,35184,68.71947673600003,609.5159366451174
13,8634,5369,5369,1,599.4472418558902
7,8352,200,200,1,108.76584385557057
13,8634,8590,8590,1,657.4764513674345
7,8352,320,320,1,159.5439215542925
13,8634,13744,13744,1,698.6288233644744
7,8352,512,512,1,225.0450429092737
13,8634,21990,21990,1,726.5066747143719
7,8352,819,819,1,302.0855452307758
13,8634,35184,35184,1,744.8411783390658
7,8352,1311,1311,1,384.8581927391776
13,8634,56295,56295,1,756.6738327411954
7,8352,2097,2097,1,467.1166828155836
7,8352,3355,3355,1,542.2429040851295
7,8352,5369,5369,1,604.6846962879684
7,8352,8590,8590,1,652.3040152001169
7,8352,13744,13744,1,686.2840667714365
7,8352,21990,21990,1,709.4271414501127
7,8352,35184,35184,1,724.707396282146
7,8352,56295,56295,1,734.5951243653765
1,6448,200,200,1,75.33829060397173
1,6448,320,320,1,105.35626160016446
1,6448,512,512,1,145.46423682233683
1,6448,819,819,1,198.12605837502747
1,6448,1311,1311,1,262.8740689110691
1,6448,2097,2097,1,333.39916086214964
1,6448,3355,3355,1,399.8223037299949
1,6448,5369,5369,1,454.81838004552804
1,6448,8590,8590,1,496.1757112449725
1,6448,13744,13744,1,525.291070476119
1,6448,21990,21990,1,544.9183254253511
4,6375,3355,200,0.059604644775390604,193.07433812151564
1,6448,35184,35184,1,557.7855325150467
4,6375,5369,320,0.059604644775390604,274.7505149416837
1,6448,56295,56295,1,566.0727685033394
4,6375,8590,512,0.059604644775390604,353.77505595573507
4,6375,13744,819,0.059604644775390604,420.1121487912588
4,6375,21990,1311,0.059604644775390604,470.4185034180984
19,5916,200,200,1,84.78732048008155
19,5916,320,320,1,121.98169187920485
4,6375,35184,2097,0.059604644775390604,506.0288906885112
19,5916,512,512,1,170.24135684337153
4,6375,56295,3355,0.059604644775390604,530.1215327731073
4,6375,819,200,0.24414062499999997,119.03488735809519
19,5916,819,819,1,228.51301196030005
4,6375,1311,320,0.24414062499999997,180.49646458966396
19,5916,1311,1311,1,291.9887340283155
4,6375,2097,512,0.24414062499999997,255.2772264303654
19,5916,2097,2097,1,353.157765355488
7,8352,3355,200,0.059604644775390604,192.97727295306964
19,5916,3355,3355,1,405.5063943913574
4,6375,3355,819,0.24414062499999997,332.54477900354595
19,5916,5369,5369,1,446.1163127936133
7,8352,5369,320,0.059604644775390604,287.0117010406557
4,6375,5369,1311,0.24414062499999997,401.31836357849886
19,5916,8590,8590,1,475.4065551945114
4,6375,8590,2097,0.24414062499999997,455.8080405880734
19,5916,13744,13744,1,495.49328432697865
7,8352,8590,512,0.059604644775390604,390.29377747071635
4,6375,13744,3355,0.24414062499999997,495.5596593995031
19,5916,21990,21990,1,508.8144318533568
4,6375,21990,5369,0.24414062499999997,522.9936517762471
19,5916,35184,35184,1,517.4588634741755
1,6448,200,13744,68.71947673600003,370.2977341256765
7,8352,13744,819,0.059604644775390604,487.3904621702112
19,5916,200,3355,16.777216000000006,321.2960384488359
4,6375,35184,8590,0.24414062499999997,541.2534449928303
19,5916,56295,56295,1,522.9910771067507
1,6448,320,21990,68.71947673600003,413.83094845784666
19,5916,320,5369,16.777216000000006,363.1416156813978
1,6448,13744,200,0.014551915228366845,369.3196276030174
7,8352,56295,200,0.0035527136788004988,258.7473002095848
4,6375,56295,13744,0.24414062499999997,553.1279981332519
7,8352,21990,1311,0.059604644775390604,567.7271474230877
19,5916,512,8590,16.777216000000006,398.4457533860764
1,6448,512,35184,68.71947673600003,453.3938118248835
1,6448,21990,320,0.014551915228366845,433.26266858133397
19,5916,819,13744,16.777216000000006,428.61841273637896
1,6448,35184,512,0.014551915228366845,481.46090796171063
7,8352,35184,2097,0.059604644775390604,628.2051711338014
19,5916,1311,21990,16.777216000000006,454.9873285673159
1,6448,56295,819,0.014551915228366845,515.5217132545866
19,5916,2097,35184,16.777216000000006,477.18843094334983
7,8352,56295,3355,0.059604644775390604,670.8511939463361
1,6448,200,3355,16.777216000000006,296.4130465802971
1,6448,819,200,0.24414062499999997,125.51395128079024
1,6448,320,5369,16.777216000000006,351.1912096190861
1,6448,1311,320,0.24414062499999997,190.80184125131896
1,6448,512,8590,16.777216000000006,403.7197261668771
1,6448,2097,512,0.24414062499999997,268.8582342957249
1,6448,819,13744,16.777216000000006,450.1097046201437
1,6448,1311,21990,16.777216000000006,488.2199735677786
1,6448,3355,819,0.24414062499999997,347.5137633141908
1,6448,3355,200,0.059604644775390604,262.09968576116324
19,5916,56295,200,0.0035527136788004988,292.75258632594563
1,6448,2097,35184,16.777216000000006,517.4684584364741
1,6448,5369,1311,0.24414062499999997,415.76363055189177
1,6448,5369,320,0.059604644775390604,345.2461337606222
1,6448,8590,2097,0.24414062499999997,468.72416861835893
1,6448,8590,512,0.059604644775390604,415.71864934386804
1,6448,13744,3355,0.24414062499999997,506.7801360797829
1,6448,13744,819,0.059604644775390604,469.4443771591803
1,6448,21990,5369,0.24414062499999997,532.7745069677825
1,6448,21990,1311,0.059604644775390604,507.58719889559814
1,6448,35184,8590,0.24414062499999997,549.9591748348977
1,6448,35184,2097,0.059604644775390604,533.4364432178648
1,6448,56295,13744,0.24414062499999997,561.0858294971317
1,6448,56295,3355,0.059604644775390604,550.4392291755129
1,6448,56295,200,0.0035527136788004988,409.1787706096884
7,8352,13744,200,0.014551915228366845,241.6466314471249
16,8403,3355,200,0.059604644775390604,267.8686642600878
7,8352,21990,320,0.014551915228366845,337.26144785164985
16,8403,5369,320,0.059604644775390604,374.5715245507744
7,8352,35184,512,0.014551915228366845,435.79858542715374
26,7122,56295,200,0.0035527136788004988,334.8858512209439
16,8403,8590,512,0.059604644775390604,476.31879709104254
7,8352,56295,819,0.014551915228366845,524.2893379127984
16,8403,13744,819,0.059604644775390604,561.1052382046261
16,8403,21990,1311,0.059604644775390604,625.1563667654699
16,8403,35184,2097,0.059604644775390604,670.4002718448681
16,8403,56295,3355,0.059604644775390604,700.9730593021786
2,8395,13744,200,0.014551915228366845,374.09639606894365
2,8395,819,200,0.24414062499999997,145.56823947971844
16,8403,56295,200,0.0035527136788004988,411.9250345533654
10,8756,56295,200,0.0035527136788004988,468.95894582779334
2,8395,21990,320,0.014551915228366845,472.86910020417673
2,8395,1311,320,0.24414062499999997,225.03139814331237
2,8395,35184,512,0.014551915228366845,556.5716956577031
2,8395,2097,512,0.24414062499999997,323.9514106876196
2,8395,56295,819,0.014551915228366845,620.8491252848746
7,8352,200,5369,26.84354560000001,536.4887203544008
13,8634,56295,200,0.0035527136788004988,442.14448799226767
7,8352,200,21990,109.95116277760006,597.960839162014
2,8395,3355,819,0.24414062499999997,427.6490589814132
7,8352,320,8590,26.84354560000001,565.8735393732636
7,8352,320,35184,109.95116277760006,606.5519816189295
13,8634,3355,200,0.059604644775390604,281.4806313873519
2,8395,5369,1311,0.24414062499999997,520.6717214360234
7,8352,512,13744,26.84354560000001,588.0872302863268
2,8395,8590,200,0.023283064365386952,344.4047116212261
16,8403,13744,200,0.014551915228366845,371.9215284514829
13,8634,5369,320,0.059604644775390604,393.69414938151186
2,8395,8590,2097,0.24414062499999997,594.6880118138192
7,8352,819,21990,26.84354560000001,610.5158976461664
4,6375,35184,200,0.005684341886080798,286.3579135565025
2,8395,13744,320,0.023283064365386952,447.57959608978143
4,6375,56295,320,0.005684341886080798,359.8033696178702
10,8756,3355,200,0.059604644775390604,293.4247108817971
16,8403,21990,320,0.014551915228366845,469.6473101777434
13,8634,8590,512,0.059604644775390604,498.20859751706513
2,8395,13744,3355,0.24414062499999997,648.8172025261119
7,8352,1311,35184,26.84354560000001,637.0601157156775
2,8395,21990,512,0.023283064365386952,537.1112175520522
10,8756,5369,320,0.059604644775390604,405.3449057404663
16,8403,35184,512,0.014551915228366845,553.4808689139461
13,8634,13744,819,0.059604644775390604,583.8159313384763
2,8395,21990,5369,0.24414062499999997,686.2288742219092
7,8352,2097,56295,26.84354560000001,665.1206237836651
2,8395,35184,819,0.023283064365386952,606.9099306939229
16,8403,56295,819,0.014551915228366845,618.4803215776137
10,8756,8590,512,0.059604644775390604,509.4181236057009
13,8634,21990,1311,0.059604644775390604,647.7555241388412
2,8395,35184,8590,0.24414062499999997,711.1524180092806
2,8395,56295,1311,0.023283064365386952,657.3315468451829
10,8756,13744,819,0.059604644775390604,594.7569769011842
13,8634,35184,2097,0.059604644775390604,692.5953342728607
2,8395,56295,13744,0.24414062499999997,727.3696911620551
13,8634,56295,3355,0.059604644775390604,722.7582601924421
10,8756,21990,1311,0.059604644775390604,658.5997338122959
10,8756,35184,2097,0.059604644775390604,703.4343086101162
10,8756,56295,3355,0.059604644775390604,733.6245882563815
7,8352,200,320,1.6,157.60084104467978
7,8352,320,512,1.6,221.91804217013842
7,8352,512,819,1.6,296.9933422753319
3,9047,8590,200,0.023283064365386952,263.87170602512185
7,8352,819,1311,1.6,375.8763856026203
7,8352,1311,2097,1.6,453.03412448218614
3,9047,13744,320,0.023283064365386952,363.4940514095954
7,8352,2097,3355,1.6,525.0171714524391
3,9047,21990,512,0.023283064365386952,467.04519544289064
7,8352,3355,5369,1.6,587.8715153499015
3,9047,35184,819,0.023283064365386952,561.8325900211488
7,8352,5369,8590,1.6,638.3351242329153
3,9047,56295,1311,0.023283064365386952,639.2192600833671
7,8352,8590,13744,1.6,675.8405426311502
7,8352,13744,21990,1.6,702.1251764103116
7,8352,21990,35184,1.6,719.8122246405366
7,8352,2097,200,0.09536743164062497,170.26417424573685
7,8352,3355,320,0.09536743164062497,259.14426651005687
7,8352,5369,512,0.09536743164062497,361.97047590704125
7,8352,8590,819,0.09536743164062497,462.6471345121335
7,8352,13744,1311,0.09536743164062497,548.3991629625011
7,8352,21990,2097,0.09536743164062497,614.238477066221
7,8352,35184,3355,0.09536743164062497,661.2708512270274
7,8352,56295,5369,0.09536743164062497,693.2907719319322
4,6375,2097,200,0.09536743164062497,165.6037684692638
4,6375,3355,320,0.09536743164062497,244.0872283475146
4,6375,5369,512,0.09536743164062497,325.33070124421806
4,6375,8590,819,0.09536743164062497,397.06140890064324
4,6375,13744,1311,0.09536743164062497,453.38548100431143
4,6375,21990,2097,0.09536743164062497,494.1848680744079
4,6375,35184,3355,0.09536743164062497,522.2024244322498
13,8634,200,320,1.6,130.02065971351476
4,6375,56295,5369,0.09536743164062497,540.7892136602412
13,8634,320,512,1.6,174.11624046872058
13,8634,512,819,1.6,231.2711271792823
13,8634,819,1311,1.6,305.20349973147006
13,8634,1311,2097,1.6,393.1108004461569
4,6375,512,200,0.39062499999999994,104.49973197986496
13,8634,2097,3355,1.6,484.37626231340283
4,6375,819,320,0.39062499999999994,156.26354156061188
