i,habitat_cells,matrix_alpha,habitat_alpha,ratio,eca
47,6015,400,25600,64,256.293792872655
31,8858,12800,25600,2,727.9793615319112
1,6448,200,400,2,116.29242077083624
1,6448,400,800,2,177.78109526349405
1,6448,800,1600,2,262.4997511724047
1,6448,1600,3200,2,360.0567178077287
1,6448,3200,6400,2,445.6424047134457
35,9015,200,800,4,182.59812628876114
33,11482,200,6400,32,467.2526058391721
1,6448,6400,12800,2,504.9832816397963
24,8608,200,6400,32,678.4716718023496
1,6448,12800,25600,2,540.3507847503151
35,9015,400,1600,4,282.2946660653143
24,8608,400,12800,32,724.1292708160485
33,11482,400,12800,32,597.8849988247686
35,9015,800,3200,4,417.77131861488954
24,8608,800,25600,32,748.7693506467892
50,3484,200,200,1,44.11387275936563
50,3484,400,400,1,70.24275537848605
35,9015,1600,6400,4,556.7269308770565
50,3484,800,800,1,111.02970109643628
50,3484,1600,1600,1,166.368237556179
50,3484,3200,3200,1,220.84036443983018
33,11482,800,25600,32,743.9191560975721
50,3484,6400,6400,1,260.86119529189824
50,3484,12800,12800,1,285.3732028401832
50,3484,25600,25600,1,298.9711203991906
35,9015,3200,12800,4,663.7283752901429
35,9015,6400,25600,4,731.4388426632584
43,10876,200,400,2,153.67208496568833
45,5610,200,1600,8,166.23572574780457
45,5610,400,3200,8,230.12664417943228
45,5610,800,6400,8,305.2424133051883
43,10876,400,800,2,251.2670735713056
45,5610,1600,12800,8,376.48558751002
45,5610,3200,25600,8,430.37077624024965
43,10876,800,1600,2,398.58313146655655
43,10876,1600,3200,2,577.471353069662
43,10876,3200,6400,2,735.1561579357009
21,5947,200,12800,64,327.75280924670886
43,10876,6400,12800,2,843.3414148651772
21,5947,400,25600,64,387.7885551651921
43,10876,12800,25600,2,907.2206071415378
42,11866,200,12800,64,485.1453705733799
42,11866,400,25600,64,626.9810487512834
50,3484,200,400,2,61.702316207078226
50,3484,400,800,2,91.84493252040738
50,3484,800,1600,2,137.04474057956793
50,3484,1600,3200,2,192.09671771687894
50,3484,3200,6400,2,240.25159677149196
50,3484,6400,12800,2,272.9726069009175
50,3484,12800,25600,2,292.16203422626415
43,10876,200,6400,32,549.6247503018773
28,9052,200,400,2,158.43125414440098
43,10876,400,12800,32,688.1754711441785
28,9052,400,800,2,243.56428964615353
28,9052,800,1600,2,357.4724419196732
43,10876,800,25600,32,804.1095248328908
15,6266,200,400,2,125.78713125688869
19,5916,200,1600,8,267.33269904216905
15,6266,400,800,2,185.93270366762368
28,9052,1600,3200,2,491.6598722391912
19,5916,400,3200,8,340.40837535129816
15,6266,800,1600,2,252.6135178624509
28,9052,200,6400,32,443.8815033330396
19,5916,800,6400,8,401.30412719869406
15,6266,1600,3200,2,329.6119319874541
28,9052,3200,6400,2,614.295904128347
19,5916,1600,12800,8,449.5925469886741
15,6266,3200,6400,2,409.3856002505658
19,5916,3200,25600,8,484.44083878020234
28,9052,400,12800,32,534.1634673355192
15,6266,6400,12800,2,473.09522496322154
28,9052,6400,12800,2,701.653124104378
15,6266,12800,25600,2,514.3789219211246
28,9052,800,25600,32,628.1486006795229
28,9052,12800,25600,2,754.4535151111263
29,7473,200,3200,16,413.78326024361985
29,7473,400,6400,16,475.33003836375053
29,7473,800,12800,16,519.3086765503338
46,5390,200,25600,128,167.66918812970104
29,7473,1600,25600,16,559.4628180142819
22,9846,200,400,2,232.3624945694196
22,9846,400,800,2,383.7537558360258
51,2759,200,200,1,40.493965827555506
51,2759,400,400,1,62.26563599734545
51,2759,800,800,1,92.13800721747356
51,2759,1600,1600,1,129.9631657994699
22,9846,800,1600,2,549.211698725346
51,2759,3200,3200,1,169.66783594304871
51,2759,6400,6400,1,201.77218523035103
51,2759,12800,12800,1,222.80710206818404
51,2759,25600,25600,1,234.93449985850722
22,9846,1600,3200,2,684.8886187242438
22,9846,3200,6400,2,775.0092103587074
37,10586,200,400,2,150.73350411823318
22,9846,6400,12800,2,827.565091656631
37,10586,400,800,2,239.57807171522734
22,9846,12800,25600,2,856.0442086288465
13,8634,200,6400,32,385.74379686358014
37,10586,800,1600,2,366.66597498578506
13,8634,400,12800,32,455.28341846249214
13,8634,800,25600,32,538.3779049105646
37,10586,1600,3200,2,530.0052222331708
37,10586,3200,6400,2,687.2592586013369
37,10586,6400,12800,2,802.0025907894371
37,10586,12800,25600,2,872.1424664673465
46,5390,200,800,4,106.24247222869096
2,8395,200,200,1,101.59366836213023
46,5390,400,1600,4,149.52905148066807
46,5390,800,3200,4,217.27592651708295
2,8395,400,400,1,176.16934935381087
46,5390,1600,6400,4,300.21064679851526
46,5390,3200,12800,4,373.12480143947255
46,5390,6400,25600,4,422.95461376250375
2,8395,800,800,1,283.38652599902804
2,8395,1600,1600,1,412.82982078762103
29,7473,200,800,4,250.6743158881274
2,8395,3200,3200,1,536.3083825716222
29,7473,400,1600,4,350.4810075134906
29,7473,800,3200,4,437.8295668679839
