i,habitat_cells,matrix_alpha,habitat_alpha,ratio,eca
19,5916,31114,31114,1,515.552362387346
19,5916,549,85376,155.5680955578121,437.2448412503325
13,8634,85376,85376,1,763.5230313705513
19,5916,15874,102,0.006428053235558064,188.69654118219128
19,5916,1506,43559,28.925465497599983,468.9819998894998
19,5916,43559,43559,1,520.2825633421487
39,9909,1076,1076,1,320.25836549423616
19,5916,768,119526,155.5680955578121,450.9350118713387
19,5916,22224,143,0.006428053235558064,237.10367066719965
32,10069,2952,2952,1,583.4767644236778
19,5916,60983,60983,1,523.7071853684122
19,5916,2108,60983,28.925465497599983,482.6494340189459
19,5916,200,1076,5.378239999999998,231.64689427767993
19,5916,31114,200,0.006428053235558064,286.62147796077954
19,5916,85376,85376,1,526.1771095266071
13,8634,119526,119526,1,767.3529867558523
19,5916,2952,85376,28.925465497599983,494.2159773477035
19,5916,280,1506,5.378239999999998,270.0855192785316
19,5916,43559,280,0.006428053235558064,333.9646589980874
19,5916,119526,119526,1,527.9535933475165
39,9909,1506,1506,1,398.8705345027993
19,5916,4132,119526,28.925465497599983,503.6182491218659
19,5916,392,2108,5.378239999999998,308.04422614512464
32,10069,4132,4132,1,654.0810224513971
19,5916,60983,392,0.006428053235558064,376.4737630266409
26,7122,31114,52,0.001673274998843728,125.1544252619853
26,7122,200,5785,28.925465497599983,337.36890260485694
19,5916,549,2952,5.378239999999998,343.7881239163719
19,5916,85376,549,0.006428053235558064,412.63691956764313
19,5916,768,4132,5.378239999999998,376.56051253292
26,7122,43559,73,0.001673274998843728,169.3146492631485
26,7122,280,8099,28.925465497599983,357.800869945695
19,5916,119526,768,0.006428053235558064,442.08237690580853
39,9909,2108,2108,1,480.9065435767875
19,5916,1076,5785,5.378239999999998,406.11545917399053
32,10069,5785,5785,1,713.5667790135951
26,7122,392,11339,28.925465497599983,378.7593210215516
26,7122,60983,102,0.001673274998843728,221.87889028561554
19,5916,1506,8099,5.378239999999998,432.207292774256
1,6448,1506,52,0.03457161303360779,90.32670369819884
26,7122,549,15874,28.925465497599983,402.7594800732264
26,7122,85376,143,0.001673274998843728,280.4525832425771
19,5916,2108,11339,5.378239999999998,454.55665977975724
1,6448,200,5785,28.925465497599983,333.2588109802013
1,6448,2108,73,0.03457161303360779,135.9258930424689
39,9909,2952,2952,1,560.1163509002037
19,5916,2952,15874,5.378239999999998,473.0539831112967
32,10069,8099,8099,1,761.5621633360271
26,7122,768,22224,28.925465497599983,430.9954041771585
1,6448,280,8099,28.925465497599983,369.45442894822264
1,6448,2952,102,0.03457161303360779,191.52896271436893
26,7122,119526,200,0.001673274998843728,340.99889478276276
26,7122,200,1076,5.378239999999998,232.5802805924676
19,5916,4132,22224,5.378239999999998,487.86985680733267
1,6448,4132,143,0.03457161303360779,252.4999904261671
26,7122,1076,31114,28.925465497599983,462.3525754149773
