i,matrix_alpha,habitat_alpha,ratio,eca
45,67763,67763,1,494.53555556636707
7,9095,323117,35.52713678800501,726.3613390193012
45,84703,84703,1,496.58111183805556
26,11369,11369,1,559.3901701226138
45,105879,105879,1,498.2273130285659
26,14211,14211,1,574.2237708310896
45,132349,132349,1,499.5505584844947
7,11369,403897,35.52713678800501,731.0784122748437
45,165436,165436,1,500.61319782965296
26,17764,17764,1,586.595700430496
45,206795,206795,1,501.46590756542355
26,22204,22204,1,596.8303153835664
45,258494,258494,1,502.14974377606285
45,323117,323117,1,502.6978833680477
26,27756,27756,1,605.2410903950451
26,400,206795,516.9878828456423,403.9537820236584
45,403897,403897,1,503.13708169835655
26,34694,34694,1,612.1163655595319
26,500,258494,516.9878828456423,416.8804422645453
26,43368,43368,1,617.7124809602115
26,625,323117,516.9878828456423,432.1821919997286
26,54210,54210,1,622.2518089271036
26,781,403897,516.9878828456423,449.616129963638
26,67763,67763,1,625.9237826445525
26,84703,84703,1,628.8875752848777
26,105879,105879,1,631.2755342257241
26,132349,132349,1,633.1968096943008
26,165436,165436,1,634.7408507722993
45,400,84703,211.75823681357508,308.53940499282413
45,500,105879,211.75823681357508,327.5560226834639
26,206795,206795,1,635.9805971404545
45,625,132349,211.75823681357508,346.60420256779173
26,258494,258494,1,636.9752933021804
45,781,165436,211.75823681357508,365.3383833273293
45,977,206795,211.75823681357508,383.374917062254
45,400,5821,14.551915228366852,259.9505593143555
26,323117,323117,1,637.7729109759488
45,1221,258494,211.75823681357508,400.34325437762595
45,500,7276,14.551915228366852,282.34147560608153
26,403897,403897,1,638.4121987450859
45,1526,323117,211.75823681357508,415.9408109801661
45,625,9095,14.551915228366852,305.07238465967674
45,1907,403897,211.75823681357508,429.9681254524287
45,781,11369,14.551915228366852,327.6958845788991
45,977,14211,14.551915228366852,349.72255964895965
45,400,34694,86.73617379884035,302.4219036545737
45,1221,17764,14.551915228366852,370.67004819885756
45,500,43368,86.73617379884035,321.97257766116087
45,1526,22204,14.551915228366852,390.12447774064134
1,400,84703,211.75823681357508,447.77481599128424
45,625,54210,86.73617379884035,341.5623216406129
45,1907,27756,14.551915228366852,407.7878113968637
19,400,14211,35.52713678800501,405.1043463334595
45,781,67763,86.73617379884035,360.8366883106349
1,500,105879,211.75823681357508,464.1164921207815
45,2384,34694,14.551915228366852,423.49690290070146
19,500,17764,35.52713678800501,417.67951401822415
